SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,Asian,Male,31,23,74.1936,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,African American,Male,1095,263,24.0183,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Four Year,Hispanic/Latino,Female,207,51,24.6377,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,English Learners,All Students,353,134,37.9603,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Native Hawaiian or Other Pacific Islander,All Students,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Hispanic/Latino,Male,163,23,14.1104,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,African American,Male,1095,166,15.1598,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,Two Year,Hispanic/Latino,Female,207,35,16.9082,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,All Students,All Students,2964,1379,46.525,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,82,Wayne,LEA District,Elem thru High School,City: Large,All,White,Female,23,12,52.1739,,,,,,,,
