SchoolYear,Total Enrolled in an IHE within 0-48 months,Total % Enrolled in an IHE within 0-48 months,Total Accumulating 24 Credits within 0-12 months,Total % Accumulating 24 Credits  within 0-12 months,Total Accumulating 24 Credits within 0-16 months,Total % Accumulating 24 Credits  within 0-16 months,Total Accumulating 24 Credits within 0-24 months,Total % Accumulating 24 Credits  within 0-24 months,ISD Code,ISD OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,IHE Type,Subgroup,Gender,Total Graduates (All Students),Total Enrolled in an IHE within 0-6 months,Total % Enrolled in an IHE within 0-6 months,Total Enrolled in an IHE within 0-12 months,Total % Enrolled in an IHE within 0-12 months,Total Enrolled in an IHE within 0-16 months,Total % Enrolled in an IHE within 0-16 months,Total Enrolled in an IHE within 0-24 months,Total % Enrolled in an IHE within 0-24 months,Total Enrolled in an IHE within 0-36 months,Total % Enrolled in an IHE within 0-36 months
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,Economically Disadvantaged,All Students,22,<10,31.8182,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Male,15,<10,33.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,African American,Female,10,<10,40,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Four Year,Economically Disadvantaged,All Students,22,<10,13.6364,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Female,10,<10,40,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,All Students,All Students,25,12,48,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,All Students,25,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,All,All Students,Male,15,<10,53.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Male,15,<10,33.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Male,15,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Female,58,11,18.9655,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,All Students,109,10,9.1743,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Female,58,<10,10.3448,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,All Students,109,<10,6.422,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Female,58,<10,8.6207,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Male,51,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,African American,All Students,109,17,15.5963,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,Economically Disadvantaged,All Students,99,15,15.1515,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Female,58,<10,10.3448,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Male,51,<10,11.7647,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Male,51,<10,7.8431,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,All Students,109,<10,6.422,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Male,51,<10,7.8431,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Male,51,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Economically Disadvantaged,All Students,99,<10,6.0606,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,All Students,109,17,15.5963,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Female,58,11,18.9655,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,All Students,109,10,9.1743,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Female,58,<10,8.6207,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Male,51,<10,11.7647,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Economically Disadvantaged,All Students,99,<10,9.0909,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,All Students,All Students,33,<10,18.1818,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,Economically Disadvantaged,All Students,30,<10,23.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,Asian,All Students,12,10,83.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,African American,Female,12,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,Native Hawaiian or Other Pacific Islander,All Students,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,Asian,Female,12,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,Asian,Female,12,10,83.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,African American,All Students,12,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,Native Hawaiian or Other Pacific Islander,Female,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,All Students,Female,33,<10,18.1818,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,Asian,Female,12,<10,33.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,English Learners,All Students,20,<10,25,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,White,Female,<10,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,All Students,All Students,33,<10,27.2727,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,Native Hawaiian or Other Pacific Islander,Female,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,All Students,Female,33,15,45.4546,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,All Students,Female,33,<10,27.2727,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,Asian,All Students,12,<10,33.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,White,All Students,<10,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,African American,Female,12,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,Native Hawaiian or Other Pacific Islander,All Students,<10,<10,14.2857,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,Students With Disabilities,All Students,<10,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Four Year,Economically Disadvantaged,All Students,30,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,Native Hawaiian or Other Pacific Islander,All Students,<10,<10,28.5714,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,English Learners,All Students,20,<10,35,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,English Learners,All Students,20,12,60,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,Native Hawaiian or Other Pacific Islander,Female,<10,<10,28.5714,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,White,Female,<10,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,Students With Disabilities,All Students,<10,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,Asian,All Students,12,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,All Students,All Students,33,15,45.4546,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,Two Year,African American,All Students,12,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,Economically Disadvantaged,All Students,30,12,40,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,,82,Wayne,LEA School,Elem thru High School,City: Large,All,White,All Students,<10,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Female,298,217,72.8188,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Economically Disadvantaged,All Students,447,265,59.2841,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Students With Disabilities,All Students,<10,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Male,219,20,9.1324,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Hispanic/Latino,All Students,42,<10,7.1429,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,White,All Students,<10,<10,88.8889,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,All Students,468,258,55.1282,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Male,170,86,50.5882,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,English Learners,All Students,60,43,71.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Male,170,18,10.5882,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,English Learners,All Students,60,<10,5,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,White,Female,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Hispanic/Latino,Male,15,13,86.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Asian,Female,24,22,91.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Hispanic/Latino,Female,27,21,77.7778,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Asian,All Students,53,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Economically Disadvantaged,All Students,447,314,70.2461,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Asian,Male,29,21,72.4138,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Female,354,264,74.5763,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,White,All Students,<10,<10,88.8889,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Students With Disabilities,All Students,<10,<10,16.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,White,Male,<10,<10,80,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Hispanic/Latino,All Students,42,35,83.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Students With Disabilities,All Students,<10,<10,33.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,All Students,573,340,59.3368,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Asian,All Students,53,42,79.2453,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Female,354,48,13.5593,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Economically Disadvantaged,All Students,447,49,10.962,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,English Learners,All Students,60,46,76.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Hispanic/Latino,Male,15,14,93.3333,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Hispanic/Latino,All Students,42,32,76.1905,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,White,Female,<10,<10,>95%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,African American,All Students,468,321,68.5897,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Male,170,104,61.1765,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Asian,Female,24,21,87.5,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Asian,Female,24,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Female,354,216,61.017,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,Hispanic/Latino,Female,27,19,70.3704,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Female,298,172,57.7181,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Male,219,144,65.7534,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Asian,All Students,53,44,83.0189,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,White,Male,<10,<10,80,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,Male,219,124,56.621,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,Female,298,45,15.1007,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,All Students,573,408,71.2042,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,All,Asian,Male,29,22,75.8621,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Asian,Male,29,<10,<5%,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,All Students,468,63,13.4615,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Hispanic/Latino,Male,15,<10,6.6667,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,All Students,573,68,11.8674,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Hispanic/Latino,Female,27,<10,7.4074,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,All,African American,All Students,45,13,28.8889,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Four Year,African American,Female,20,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Students With Disabilities,All Students,<10,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,Female,20,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Two Year,African American,All Students,45,<10,8.8889,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,All,African American,Female,20,<10,40,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,All,Economically Disadvantaged,All Students,38,11,28.9474,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Two Year,Economically Disadvantaged,All Students,38,<10,10.5263,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Four Year,All Students,All Students,45,<10,20,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,Two Year,All Students,All Students,45,<10,8.8889,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,All,Students With Disabilities,All Students,<10,<10,50,,,,,,,,
2018-2019,,,,,,,,,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,,82,Wayne,LEA School,High School,City: Large,All,All Students,Male,25,<10,20,,,,,,,,
